name,noise_index,length,total_intensity,max_den,recoil_angle,int_mean,int_skew,int_kurt,int_std
1.031keV_C_1.712cm_6369_gem_out.npy,112,65.90565647617473,6817.482177734377,0.1965013892142037,80.57947605499353,454.49881184895855,0.431839992024715,-1.0639458739211711,467.44686322115786
1.090keV_C_1.560cm_4151_gem_out.npy,174,84.2820990615577,3383.543701171876,0.2217770595831681,31.55010360352492,225.56958007812503,-0.1627019654899974,-0.7179444004198867,145.3275013760464
1.153keV_C_0.506cm_1890_gem_out.npy,171,42.23784506287643,377.0356445312501,0.3080092363648378,1.3370927287452357,25.13570963541669,-0.260595899947439,-0.8877171033183511,116.20896494067392
1.378keV_C_2.344cm_5034_gem_out.npy,56,87.98909023282371,3405.5356445312505,0.3017900230069248,87.47077038463769,227.0357096354168,-0.0741271477577061,-0.890422202937168,368.1030905861359
1.450keV_C_2.304cm_5601_gem_out.npy,174,83.88153021441079,3743.179687500001,0.3199747049584593,77.16177019472602,249.5453125000001,0.3639142428610716,-1.0845348705846265,229.16560555089865
1.558keV_C_1.759cm_1324_gem_out.npy,29,78.52784361118178,-2184.06884765625,0.2802975693446066,67.36525314670469,-145.60458984375006,-0.7608314873089683,-0.8574822160888442,281.45708547210853
1.575keV_C_2.048cm_7807_gem_out.npy,109,91.7613147731052,4583.155029296876,0.2117296115827953,17.417958524783675,305.5436686197917,1.1228353897554864,0.0807872882963756,320.25883861495487
1.762keV_C_1.891cm_839_gem_out.npy,79,53.78624359443592,1145.2929687500002,0.3680285819340421,9.075322158510954,76.35286458333333,0.6489397708458801,-0.9808795609923316,118.6582059970609
1.780keV_C_2.060cm_649_gem_out.npy,99,28.850572880890184,-2208.1538085937505,0.3033953340528244,36.017175844374506,-146.97334151760086,0.2925908346865065,0.2118133595461429,167.05392188607823
1.785keV_C_1.032cm_6284_gem_out.npy,8,63.26248669015645,1343.1923828125,0.3393487995814359,38.799089308852,89.80758009025558,0.5318611861446738,-0.962438952029625,119.62924263142123
1.793keV_C_2.339cm_316_gem_out.npy,139,58.15534751374494,-504.4721679687504,0.244748917318751,89.21123078357367,-33.63147786458334,0.2117474783987816,-0.2263759690454989,270.50470679025324
1.832keV_C_1.275cm_9220_gem_out.npy,70,92.05452490538178,2915.846679687501,0.2209034861628597,61.90241256904149,194.65328694075072,0.0484319334168072,-0.7681619737313214,230.01680874530092
1.900keV_C_2.363cm_997_gem_out.npy,84,45.38546022681714,-868.8740234375,0.2746862131598244,4.84837715536413,-57.92493489583338,0.4517626769806576,-0.4660610405225718,250.7833568941433
1.962keV_C_0.933cm_8155_gem_out.npy,119,0.0,-2664.8881835937505,0.750161278228404,4.882750500849261,-177.65921223958338,-0.77969500462851,0.4922361510172997,144.50929251045804
10.048keV_C_1.842cm_9082_gem_out.npy,143,116.4433672554078,19103.247558593757,0.0597586844664682,75.878230930416,1273.549837239584,1.225072040795954,-0.051745186490792,1800.302155426822
10.097keV_C_0.607cm_2723_gem_out.npy,112,91.41111043582784,34101.47216796875,0.0239891429846021,31.0812300726448,2273.431477864581,1.1957093928464633,-0.0055687941875701,2904.9933284207077
10.193keV_C_1.804cm_3386_gem_out.npy,51,50.91483084524586,9458.9169921875,0.0805177359345654,2.4248999911297826,630.5944661458336,1.091614858521704,-0.4412411694173626,1088.097845522568
10.291keV_C_0.873cm_9592_gem_out.npy,180,90.74685179724476,26552.11450195313,0.0340581940468348,73.99994608416314,1770.140966796875,1.1161280436722345,-0.2230083473247521,2260.0389856238908
10.334keV_C_2.163cm_9543_gem_out.npy,38,114.54256850621086,31340.72924804689,0.0345640985895674,52.8043421399633,2089.381949869793,1.202172923521669,-0.0893801066865096,2903.473244917652
10.338keV_C_2.411cm_5673_gem_out.npy,179,117.87469806724611,22790.17309570313,0.0521332508157467,38.56320860665437,1519.8968434890726,1.1969615138943497,-0.0046159275594122,1881.3925158077504
10.366keV_C_2.365cm_6884_gem_out.npy,181,118.39704388201594,24424.92846679688,0.0610528805757583,24.29313754220903,1628.3285644531268,0.6495440027546913,-1.2126881753292635,1552.8629377654024
10.482keV_C_1.776cm_941_gem_out.npy,58,93.48202441586773,29310.52368164063,0.043740088537655,88.48827959059116,1954.0349121093743,1.0852078138426005,-0.2315080694866287,2241.8577487017883
10.525keV_C_1.158cm_9900_gem_out.npy,89,94.84977596178076,27564.58129882813,0.0342546129913446,79.98800384955932,1837.6387532552087,1.2297886010809227,0.1508734647404521,2037.5408636304549
10.532keV_C_1.036cm_164_gem_out.npy,119,86.08471279953126,24007.736572265632,0.0465228128807672,58.127992850132095,1600.5157714843758,0.9387802239077038,-0.607646630142002,1957.1104605437151
10.562keV_C_0.827cm_5025_gem_out.npy,197,96.8660931389307,20636.414062500004,0.0387884350507312,35.224718602767176,1375.5623902379857,1.048564061987847,-0.2962921663292421,1537.8593147279578
10.689keV_C_1.267cm_173_gem_out.npy,192,124.73363620130696,24677.99877929688,0.0456666241123308,44.5528375398477,1645.1999186197909,1.052634549320353,-0.2772065875043181,1956.2231820582203
10.690keV_C_1.226cm_888_gem_out.npy,188,72.56031973468694,30013.447265625007,0.0300758843473745,58.91322170264566,2001.1241130763328,1.0480595255948524,-0.4821368337484029,2738.681608451818
10.750keV_C_1.089cm_3355_gem_out.npy,94,54.13333333333332,13503.441406250004,0.0416384688852643,10.912084946339856,900.229427083334,1.1662118257323792,-0.2060364379073416,1378.6212142461566
