name,length,total_intensity,max_den,recoil_angle,int_mean,int_skew,int_kurt,int_std
1.003keV_0.000_0.000_C_0.691cm_9257_ito.npy,124.17060843855116,-31.18353271484375,0.5152300141536532,86.54658004826909,-1.3020264490806814,-0.07342274708932159,-1.4597960039220734,96.73740517690179
1.012keV_0.000_0.000_C_2.067cm_3354_ito.npy,59.12886116121484,-250.46710205078125,0.47964860681437416,88.0424676483156,6.686366579134694,0.9407594097358433,0.3856217080500026,167.40027076783548
1.017keV_0.000_0.000_C_1.263cm_7075_ito.npy,147.82215290303716,-12.573974609375,0.598978306446117,88.89211392184978,-1.989183281092563,0.42827815685599824,-0.7149671768719994,121.15464108403295
1.035keV_0.000_0.000_C_0.699cm_2211_ito.npy,135.99638067079422,260.00024414062494,0.4785896736852915,88.16049820388538,16.512244655837943,0.7854346914070174,0.19969068889970298,112.97329945508238
1.049keV_0.000_0.000_C_0.614cm_2184_ito.npy,130.08349455467268,278.0814208984375,0.5948034532605352,89.84700362941838,13.549457054580591,-0.8412916064900012,-0.37908199175444235,109.77992756643826
1.055keV_0.000_0.000_C_1.534cm_887_ito.npy,106.4319500901867,-534.1252441406252,0.6918552471507089,88.94546958490277,-24.40825680441207,-0.2670725164189792,-0.03149156166680278,131.89589056011002
1.085keV_0.000_0.000_C_0.781cm_3332_ito.npy,147.82215290303714,610.4011840820314,0.5452964301302368,89.34490944297583,44.52534232420235,-0.8347845756896435,-0.42523185808967234,91.50889219475775
1.093keV_0.000_0.000_C_1.697cm_9047_ito.npy,35.477316696728906,-1036.0000000000002,0.8479310346167561,89.6901503645641,-67.6280966786385,0.1937018948642078,-0.47567806273320334,100.55567936265827
1.094keV_0.000_0.000_C_0.657cm_2398_ito.npy,11.825772232242969,-1313.0561523437502,0.7809751771223796,86.7002759048757,-83.0868661636162,-0.8492886197344235,0.9227002368081596,89.20044277126183
1.098keV_0.000_0.000_C_1.456cm_5312_ito.npy,159.64792513528013,346.1860961914063,0.6097783918535069,89.92216103580074,21.246532076825975,-0.22502848359013147,-0.7011922077014519,84.68593588506701
1.100keV_0.000_0.000_C_0.606cm_2551_ito.npy,70.95463339345781,-140.3035278320313,0.5393495059821743,89.76016230784303,-11.879943234181095,0.7210051626062359,-0.34271385729052906,78.7917904337758
1.101keV_0.000_0.000_C_1.826cm_5878_ito.npy,141.90926678691562,-270.84918212890625,0.5638492250007041,89.91364543942021,0.9759028514576868,0.6403662440132436,0.24561388042175114,65.42890037819237
1.115keV_0.000_0.000_C_2.019cm_584_ito.npy,35.477316696728906,-1087.6907958984377,0.7160810726962331,88.67145648564961,-72.45173819058706,-0.16253854146345473,-1.1063980616352074,67.60699062335863
1.121keV_0.000_0.000_C_1.365cm_9966_ito.npy,6.4442911859171055,9.302001953125,2.1503293560598027,90.0,0.6527419423023825,0.6808255211726894,-1.103140882178127,0.8981276207763227
1.125keV_0.000_0.000_C_2.227cm_2971_ito.npy,0.0,-1833.5595703125002,0.7765511840967451,89.53477047857231,-117.10468896133085,0.01608913257938413,-1.4902123016389248,82.40630545953351
1.149keV_0.000_0.000_C_0.641cm_419_ito.npy,159.64792513528008,-1142.788024902344,0.7668227534047976,89.45893418690729,-69.95074361966276,-0.4448695791353167,-0.1351450174619453,198.19533086333348
1.154keV_0.000_0.000_C_0.752cm_2619_ito.npy,124.1706084385512,100.80426025390626,0.819143840269235,87.76505304923202,6.72028401692708,-0.08500430941253653,-1.23366514713102,93.68398724206286
1.154keV_0.000_0.000_C_2.377cm_3356_ito.npy,159.64792513528005,466.2115478515626,0.552054359102021,89.404180907096,30.515434873282423,0.2654769974485856,-0.5396455849266593,141.81284546483204
1.170keV_0.000_0.000_C_1.928cm_8818_ito.npy,82.7804056257008,148.04302978515625,0.5610664938114164,88.80687786249878,16.785821801210655,-0.049917193910509666,-0.4381386276281165,134.89441904431868
1.187keV_0.000_0.000_C_1.353cm_4390_ito.npy,141.90926678691565,-283.433044433594,0.738723781030444,89.1791381727082,-20.94354540585804,-0.2807676906943189,-0.4148223842484926,114.24954167947723
1.193keV_0.000_0.000_C_0.602cm_6951_ito.npy,153.73503901915865,-136.3375854492188,0.8736868984838119,88.94613095161851,-8.367979401590064,0.5226921680898886,-0.37419531073824563,94.0647692076084
1.223keV_0.000_0.000_C_1.332cm_1423_ito.npy,153.73503901915862,427.94342041015636,0.7043308268874928,87.96084205401223,28.529561360677103,0.09364904330419277,-1.2663442942381118,112.45382342276261
1.226keV_0.000_0.000_C_2.046cm_5749_ito.npy,82.78040562570081,-886.5552978515626,0.6984193226063877,86.91073381379064,-59.187396883093605,-0.36280341802464083,-0.5040915968258184,84.3041785860876
1.231keV_0.000_0.000_C_1.339cm_9345_ito.npy,11.454256850621086,110.18023681640628,0.6058087578991604,90.0,7.345349121093751,-1.7418914362139357,1.6891929991738062,3.034017140625021
1.246keV_0.000_0.000_C_1.179cm_1787_ito.npy,153.73503901915868,484.0516967773438,0.6394180667798524,89.78812390689762,31.474842737514404,-0.9805477029453762,1.1787612296574048,89.16198348015476
1.259keV_0.000_0.000_C_1.499cm_8826_ito.npy,153.73503901915862,-93.61853027343761,0.6980154001506291,89.47224210070462,-6.040081566959817,-0.16025035914320435,-0.5723329680149898,129.29494636940763
1.265keV_0.000_0.000_C_1.577cm_2500_ito.npy,153.73503901915862,685.3545532226564,0.5660500303510066,88.79574572160767,47.187663261869176,0.7367429958440085,0.30142159096192334,126.6363148962917
1.265keV_0.000_0.000_C_1.661cm_3081_ito.npy,153.73503901915862,1214.3427734375002,0.6638870223211504,89.14407725410082,80.9561848958333,0.22281458311937008,-0.3840451864706327,146.55900766618146
1.266keV_0.000_0.000_C_0.721cm_8970_ito.npy,82.78040562570078,-562.7905883789065,0.7686931477868524,89.10775818272155,-33.62322772226581,-0.30084146190491845,-0.8062690633226239,111.7411708803093
